land_type_code,dryness_index,ndvi_p90,ndvi_p50,ndvi_p10,swir_b12,swir_b11,avg_frp,max_frp,activity_ratio,frp_trend,frp_early_avg,frp_early_max,frp_early_trend,persistence_days,dist_refinery_km,dist_power_km,dist_steel_km,dist_mining_km,dist_flare_km,dist_oilgas_km,nearest_industrial_code,persistence_class,persistence_days,behavior_class,behavior_cat,firetype_class,firetype_cat,lat,lon
40,0.559,0.736,0.368,0.216,0.216,0.136,2.18,2.18,0.1,0,2.18,2.18,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.45,81.69
10,0.266,0.84,0.776,0.632,0.192,0.084,6.86,6.86,0.1,0,6.86,6.86,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.52,81.15
40,0.598,0.712,0.384,0.224,0.24,0.156,3.54,3.54,0.1,0,3.54,3.54,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.55,81.66
30,0.641,0.672,0.36,0.224,0.264,0.172,4.82,4.82,0.1,0,4.82,4.82,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.56,81.71
30,0.67,0.704,0.52,0.368,0.328,0.204,10.14,10.14,0.1,0,10.14,10.14,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.73,81.25
40,0.641,0.704,0.472,0.296,0.288,0.184,8.05,8.05,0.1,0,8.05,8.05,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.81,81.38
10,0.353,0.8,0.672,0.512,0.2,0.104,1.87,1.87,0.1,0,1.87,1.87,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.81,81.05
40,0.612,0.72,0.528,0.368,0.296,0.192,9.48,9.48,0.1,0,9.48,9.48,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.81,81.39
30,0.703,0.696,0.464,0.328,0.368,0.252,15.46,15.46,0.1,0,15.46,15.46,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.87,81.39
30,0.456,0.76,0.648,0.52,0.26,0.148,4,4,0.1,0,4,4,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.88,81.35
40,0.593,0.776,0.344,0.16,0.216,0.144,4.91,4.91,0.1,0,4.91,4.91,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.9,81.48
40,0.595,0.768,0.432,0.24,0.244,0.16,3.81,3.81,0.1,0,3.81,3.81,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.91,81.42
40,0.722,0.672,0.344,0.184,0.296,0.204,12.99,12.99,0.1,0,12.99,12.99,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.92,81.47
40,0.53,0.776,0.472,0.216,0.2,0.116,3.23,3.23,0.1,0,3.23,3.23,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.94,81.33
40,0.542,0.752,0.488,0.232,0.212,0.124,3.18,3.18,0.1,0,3.18,3.18,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.94,81.37
10,0.427,0.776,0.672,0.496,0.236,0.128,26.84,26.84,0.1,0,26.84,26.84,0,1,100,100,100,100,100,100,6,0,1,0,forest,3,wildfire,8.08,80.77
30,0.42,0.792,0.656,0.496,0.232,0.128,19.91,19.91,0.1,0,19.91,19.91,0,1,100,100,100,100,100,100,6,0,1,1,grassland,3,wildfire,8.08,80.78
40,0.401,0.768,0.6,0.432,0.2,0.112,5.23,5.23,0.1,0,5.23,5.23,0,1,100,32.78,100,34.13,100,100,6,0,1,3,crop,1,agricultural_burn,8.13,80.62
10,0.25,0.808,0.672,0.584,-1,-1,6.02,6.02,0.1,0,6.02,6.02,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,8.13,81.34
10,0.295,0.856,0.744,0.632,0.208,0.1,7.59,7.59,0.1,0,7.59,7.59,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,8.26,81.34
10,0.458,0.76,0.528,0.336,0.2,0.116,3.33,3.33,0.1,0,3.33,3.33,0,1,100,33.49,100,40.84,100,100,6,0,1,0,forest,3,wildfire,8.36,80.64
10,0.326,0.8,0.68,0.52,0.188,0.096,1.53,1.53,0.1,0,1.53,1.53,0,1,100,38.33,100,35.57,100,100,6,0,1,0,forest,3,wildfire,8.44,80.65
40,0.538,0.68,0.456,0.264,0.22,0.132,2.73,2.73,0.1,0,2.73,2.73,0,1,100,1.34,100,7.53,100,100,1,0,1,3,crop,0,industrial_fire,8.44,77.65
30,0.528,0.752,0.552,0.352,0.244,0.152,14.91,14.91,0.1,0,14.91,14.91,0,1,100,30.8,100,29.53,100,100,6,0,1,1,grassland,3,wildfire,8.47,80.17
10,0.42,0.784,0.632,0.448,0.216,0.124,25.09,25.09,0.1,0,25.09,25.09,0,1,100,43.51,100,35.89,100,100,6,0,1,0,forest,3,wildfire,8.48,80.68
40,0.492,0.76,0.544,0.352,0.224,0.132,1.27,1.27,0.1,0,1.27,1.27,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,8.54,80.85
30,0.444,0.752,0.576,0.384,0.208,0.116,11.3,11.3,0.1,0,11.3,11.3,0,1,100,46.01,100,26.94,100,100,3,0,1,1,grassland,3,wildfire,8.57,80.63
40,0.478,0.8,0.576,0.424,0.24,0.144,1.12,1.12,0.1,0,1.12,1.12,0,1,100,100,100,40.7,100,100,3,0,1,3,crop,1,agricultural_burn,8.58,80.76
10,0.475,0.784,0.56,0.392,0.228,0.136,2.07,2.07,0.1,0,2.07,2.07,0,1,100,100,100,41.79,100,100,3,0,1,0,forest,3,wildfire,8.58,80.77
10,0.377,0.824,0.648,0.472,0.2,0.112,5.91,5.91,0.1,0,5.91,5.91,0,1,100,100,100,45.73,100,100,3,0,1,0,forest,3,wildfire,8.63,80.81
10,0.401,0.784,0.632,0.456,0.208,0.116,6.72,6.72,0.1,0,6.72,6.72,0,1,100,48.54,100,15.18,100,100,3,0,1,0,forest,3,wildfire,8.66,80.53
40,0.482,0.792,0.552,0.344,0.216,0.124,7.33,7.33,0.1,0,7.33,7.33,0,1,100,48.94,100,7.63,100,100,3,0,1,3,crop,1,agricultural_burn,8.7,80.37
10,0.298,0.808,0.736,0.568,0.188,0.092,9.54,9.54,0.1,0,9.54,9.54,0,1,100,48.16,100,15.01,100,100,3,0,1,0,forest,3,wildfire,8.77,80.38
10,0.223,0.808,0.76,0.632,0.168,0.08,9.54,9.54,0.1,0,9.54,9.54,0,1,100,47.88,100,16.12,100,100,3,0,1,0,forest,3,wildfire,8.78,80.38
30,0.526,0.752,0.488,0.344,0.24,0.144,7.33,7.33,0.1,0,7.33,7.33,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,8.91,80.93
10,0.262,0.768,0.712,0.568,0.168,0.088,5.63,5.63,0.1,0,5.63,5.63,0,1,100,43.26,100,21.32,100,100,3,0,1,0,forest,3,wildfire,9.16,80.35
40,0.554,0.672,0.392,0.224,0.216,0.14,5.55,5.55,0.1,0,5.55,5.55,0,1,100,3.26,100,2.72,100,100,3,0,1,3,crop,0,industrial_fire,9.91,78.2
80,0.506,0.464,0.32,0.184,0.176,0.112,10.56,10.56,0.1,0,10.56,10.56,0,1,100,4.65,100,22.88,100,100,1,0,1,4,other,,unknown,10.9,78.53
40,0.521,0.584,0.344,0.208,0.192,0.128,19.65,19.65,0.1,0,19.65,19.65,0,1,100,5.94,100,24.43,100,100,1,0,1,3,crop,1,agricultural_burn,10.91,78.54
30,0.576,0.672,0.448,0.248,0.236,0.148,3.51,3.51,0.1,0,3.51,3.51,0,1,100,4.28,100,18.33,100,100,1,0,1,1,grassland,3,wildfire,12.66,79.68
20,0.734,0.448,0.312,0.2,0.308,0.224,3.87,3.87,0.1,0,3.87,3.87,0,1,100,5.68,100,23.82,100,100,1,0,1,2,shrubland,3,wildfire,15.13,77.57
20,0.814,0.472,0.264,0.144,0.348,0.272,7.16,7.16,0.1,0,7.16,7.16,0,1,100,4.32,100,19.83,100,100,1,0,1,2,shrubland,3,wildfire,15.18,77.63
40,0.456,0.576,0.4,0.232,0.164,0.112,4.53,4.53,0.1,0,4.53,4.53,0,1,100,4.99,100,10.09,100,100,1,0,1,3,crop,1,agricultural_burn,18.71,74.36
50,0.533,0.264,0.12,0.056,0.148,0.116,6.9,6.9,0.1,0,6.9,6.9,0,1,100,0.48,100,9.17,100,100,1,0,1,4,other,0,industrial_fire,21.18,81.39
10,0.542,0.496,0.312,0.112,0.172,0.116,8.98,8.98,0.1,0,8.98,8.98,0,1,100,5.93,100,0.9,100,100,3,0,1,0,forest,2,mining_activity,23.68,86.4
50,0.533,0.272,0.136,0.032,0.14,0.116,7.89,7.89,0.1,0,7.89,7.89,0,1,100,0.83,100,2.46,100,100,6,0,1,4,other,0,industrial_fire,23.68,86.09
10,0.552,0.512,0.312,0.12,0.18,0.12,4.46,4.46,0.1,0,4.46,4.46,0,1,100,6.91,100,0.78,100,100,3,0,1,0,forest,2,mining_activity,23.68,86.39
60,0.538,0.56,0.328,0.12,0.172,0.116,4.46,4.46,0.1,0,4.46,4.46,0,1,100,7.69,100,0.48,100,100,3,0,1,4,other,2,mining_activity,23.69,86.39
30,0.605,0.248,0.12,0.032,0.18,0.144,6.75,6.75,0.1,0,6.75,6.75,0,1,100,7.11,100,1.22,100,100,3,0,1,1,grassland,2,mining_activity,23.74,86.43
60,0.588,0.4,0.168,0.048,0.176,0.14,2.2,2.2,0.1,0,2.2,2.2,0,1,100,6.26,100,1.34,100,100,3,0,1,4,other,2,mining_activity,23.78,86.21
60,0.593,0.616,0.328,0.112,0.2,0.148,6.75,6.75,0.1,0,6.75,6.75,0,1,1.2,0.47,100,100,100,100,1,0,1,4,other,0,industrial_fire,29.46,76.86
40,0.574,0.752,0.448,0.144,0.2,0.132,7.84,7.84,0.1,0,7.84,7.84,0,1,100,9.48,100,100,100,100,1,0,1,3,crop,1,agricultural_burn,30.39,73.78
80,0.55,0.736,0.376,0.112,0.176,0.112,6.34,6.34,0.1,0,6.34,6.34,0,1,100,18.95,100,100,100,100,6,0,1,4,other,,unknown,30.39,73.87
40,0.566,0.792,0.432,0.12,0.188,0.12,4.72,4.72,0.1,0,4.72,4.72,0,1,100,17.95,100,100,100,100,6,0,1,3,crop,1,agricultural_burn,30.4,73.88
40,0.562,0.792,0.408,0.104,0.18,0.116,17.96,17.96,0.1,0,17.96,17.96,0,1,100,18.1,100,100,100,100,6,0,1,3,crop,1,agricultural_burn,30.4,73.89
60,0.862,0.176,0.088,0.064,0.356,0.336,2.42,2.42,0.1,0,2.42,2.42,0,1,100,100,100,100,100,100,-1,0,1,4,other,1,agricultural_burn,26.66,68.42
40,0.559,0.696,0.408,0.168,0.2,0.136,12.86,12.86,0.1,0,12.86,12.86,0,1,100,25.02,100,100,100,100,1,0,1,3,crop,1,agricultural_burn,30.49,71.85
60,0.59,0.048,0.032,0.016,-1,-1,1.33,1.33,0.1,0,1.33,1.33,0,1,100,100,100,100,100,100,-1,0,1,4,other,1,agricultural_burn,35.99,94.83
10,0.259,0.736,0.64,0.44,0.124,0.076,0.62,0.62,0.1,0,0.62,0.62,0,1,100,2.89,100,100,100,100,1,0,1,0,forest,0,industrial_fire,33.29,75.73
80,0.386,-0.072,-0.144,-0.216,0.048,0.04,2.69,2.69,0.1,0,2.69,2.69,0,1,2.7,0.97,100,45.66,100,42.24,6,0,1,4,other,0,industrial_fire,22.05,88.13
40,0.49,0.752,0.552,0.248,0.188,0.108,1.01,1.01,0.1,0,1.01,1.01,0,1,100,2.7,100,32.29,100,100,6,0,1,3,crop,0,industrial_fire,22.37,87.02
50,0.545,0.528,0.328,0.072,0.16,0.112,2.37,2.37,0.1,0,2.37,2.37,0,1,100,1.88,100,3.61,100,100,6,0,1,4,other,0,industrial_fire,23.69,87.13
10,0.523,0.56,0.256,0.096,0.156,0.112,2.35,2.35,0.1,0,2.35,2.35,0,1,100,0.97,100,4.56,100,100,6,0,1,0,forest,0,industrial_fire,23.7,87.12
10,0.6,0.304,0.144,0.04,0.18,0.136,1.32,1.32,0.1,0,1.32,1.32,0,1,100,8.15,100,1.28,100,100,3,0,1,0,forest,2,mining_activity,23.74,86.44
60,0.59,0.272,0.144,0.056,0.18,0.148,1.82,1.82,0.1,0,1.82,1.82,0,1,100,5.93,100,1.88,100,100,3,0,1,4,other,2,mining_activity,23.75,86.42
10,0.576,0.52,0.304,0.08,0.18,0.128,2.74,2.74,0.1,0,2.74,2.74,0,1,100,3.9,100,1.95,100,100,6,0,1,0,forest,0,industrial_fire,23.75,86.4
50,0.6,0.312,0.16,0.04,0.18,0.144,1.89,1.89,0.1,0,1.89,1.89,0,1,100,4.94,100,1.54,100,100,3,0,1,4,other,2,mining_activity,23.76,86.41
60,0.614,0.568,0.296,0.16,0.228,0.16,2.03,2.03,0.1,0,2.03,2.03,0,1,100,1.84,100,0.71,100,100,3,0,1,4,other,0,industrial_fire,24.12,86.86
10,0.583,0.6,0.312,0.176,0.216,0.156,1.56,1.56,0.1,0,1.56,1.56,0,1,100,1.02,100,0.67,100,100,3,0,1,0,forest,0,industrial_fire,24.12,86.87
60,0.677,0.592,0.32,0.152,0.26,0.192,1.07,1.07,0.1,0,1.07,1.07,0,1,17.74,0.48,100,2.81,100,100,1,0,1,4,other,0,industrial_fire,24.66,74.64
50,0.662,0.568,0.304,0.152,0.252,0.188,1.07,1.07,0.1,0,1.07,1.07,0,1,17.73,0.49,100,1.86,100,100,1,0,1,4,other,0,industrial_fire,24.66,74.63
10,0.442,0.752,0.584,0.376,0.204,0.116,0.28,0.28,0.1,0,0.28,0.28,0,1,3.36,7.58,100,6.13,100,100,6,0,1,0,forest,0,industrial_fire,27.32,95.27
10,0.502,0.736,0.512,0.336,0.224,0.136,0.65,0.65,0.1,0,0.65,0.65,0,1,4.18,8.55,100,6.87,100,100,6,0,1,0,forest,0,industrial_fire,27.32,95.28
40,0.437,0.752,0.6,0.384,0.204,0.12,0.49,0.49,0.1,0,0.49,0.49,0,1,5.57,9.14,100,11.2,100,100,6,0,1,3,crop,0,industrial_fire,27.38,95.09
40,0.6,0.592,0.32,0.136,0.212,0.156,2.26,2.26,0.1,0,2.26,2.26,0,1,100,3.22,100,22.17,100,100,6,0,1,3,crop,0,industrial_fire,28.84,77.14
10,0.326,0.816,0.736,0.568,0.204,0.1,2.6,2.6,0.1,0,2.6,2.6,0,1,100,14.82,100,12.17,100,100,6,0,1,0,forest,3,wildfire,10.07,77.26
10,0.319,0.816,0.76,0.568,0.2,0.096,2.32,2.32,0.1,0,2.32,2.32,0,1,100,14.41,100,12.7,100,100,6,0,1,0,forest,3,wildfire,10.07,77.25
10,0.326,0.8,0.736,0.592,0.212,0.108,2.6,2.6,0.1,0,2.6,2.6,0,1,100,15.22,100,12.54,100,100,6,0,1,0,forest,3,wildfire,10.08,77.26
50,0.48,0.712,0.512,0.336,0.212,0.136,3.34,3.34,0.1,0,3.34,3.34,0,1,100,0.61,100,19.49,100,100,1,0,1,4,other,0,industrial_fire,10.89,78.49
10,0.365,0.784,0.664,0.504,0.204,0.112,2.21,2.21,0.1,0,2.21,2.21,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.74,81.2
30,0.305,0.824,0.76,0.64,0.216,0.108,0.91,0.91,0.1,0,0.91,0.91,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.79,81.04
20,0.526,0.752,0.592,0.344,0.24,0.136,0.6,0.6,0.1,0,0.6,0.6,0,1,100,100,100,100,100,100,-1,0,1,2,shrubland,3,wildfire,6.86,81.55
10,0.235,0.856,0.808,0.672,0.188,0.088,1.27,1.27,0.1,0,1.27,1.27,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.06,81
30,0.521,0.704,0.584,0.352,0.24,0.136,3.94,3.94,0.1,0,3.94,3.94,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.17,81.72
10,0.583,0.704,0.528,0.272,0.248,0.148,1.42,1.42,0.1,0,1.42,1.42,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.18,81.74
10,0.23,0.832,0.784,0.68,0.188,0.084,1.78,1.78,0.1,0,1.78,1.78,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.28,81.28
10,0.314,0.832,0.784,0.576,0.2,0.1,0.82,0.82,0.1,0,0.82,0.82,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.43,80.92
10,0.446,0.76,0.608,0.416,0.22,0.12,0.49,0.49,0.1,0,0.49,0.49,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.91,81.14
10,0.427,0.752,0.56,0.376,0.196,0.112,0.66,0.66,0.1,0,0.66,0.66,0,1,100,8.02,100,22.94,100,100,6,0,1,0,forest,3,wildfire,8.31,80.3
40,0.547,0.792,0.36,0.176,0.196,0.112,0.84,0.84,0.1,0,0.84,0.84,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,8.39,81.06
40,0.713,0.304,0.192,0.128,0.272,0.24,0.97,0.97,0.1,0,0.97,0.97,0,1,100,45.69,100,100,100,100,1,0,1,3,crop,1,agricultural_burn,33.54,71.55
40,0.727,0.296,0.192,0.104,0.272,0.24,0.77,0.77,0.1,0,0.77,0.77,0,1,100,0.76,100,34,100,100,6,0,1,3,crop,0,industrial_fire,33.8,72.1
50,0.703,0.528,0.256,0.12,0.264,0.216,0.66,0.66,0.1,0,0.66,0.66,0,1,23.98,0.2,100,13.18,100,100,6,0,1,4,other,0,industrial_fire,33.83,72.83
10,0.425,0.792,0.68,0.512,0.24,0.132,5.51,5.51,0.1,0,5.51,5.51,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.47,81.11
30,0.384,0.784,0.688,0.52,0.22,0.116,4.92,4.92,0.1,0,4.92,4.92,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.75,81.36
40,0.49,0.808,0.552,0.272,0.196,0.108,9.2,9.2,0.1,0,9.2,9.2,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,6.8,81.55
30,0.442,0.792,0.608,0.4,0.212,0.116,7.19,7.19,0.1,0,7.19,7.19,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.8,81.56
10,0.269,0.832,0.784,0.664,0.204,0.1,3.3,3.3,0.1,0,3.3,3.3,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7,81.47
10,0.223,0.848,0.8,0.704,0.192,0.088,3.79,5.28,0.2,2.98,3.79,5.28,2.98,2,100,100,100,100,100,100,-1,1,2,0,forest,3,wildfire,7.1,81.07
10,0.559,0.744,0.328,0.168,0.2,0.128,2.04,2.04,0.1,0,2.04,2.04,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.15,81.75
40,0.566,0.752,0.264,0.12,0.188,0.128,3.19,3.19,0.1,0,3.19,3.19,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.16,81.75
40,0.559,0.768,0.296,0.12,0.184,0.12,2.59,2.59,0.1,0,2.59,2.59,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.16,81.79
